goos: linux
goarch: amd64
pkg: cryptna-lab/common/attest
cpu: Intel(R) Core(TM) 7 240H
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   48985	     23824 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   46153	     23693 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   49173	     24121 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   47941	     24015 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   93108	     12545 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   92581	     12540 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   91448	     12616 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   92815	     12505 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   89726	     12452 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   87698	     12535 ns/op	    9137 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   90366	     12509 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   90283	     12511 ns/op	    9137 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   82926	     12656 ns/op	    9137 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_10-2    	   89181	     12470 ns/op	    9136 B/op	     249 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4466	    233917 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    5026	    231892 ns/op	  121022 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4449	    231806 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4401	    237209 ns/op	  121023 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4495	    231612 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4500	    233389 ns/op	  121022 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4472	    231430 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4797	    232772 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4482	    232090 ns/op	  121022 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_100-2  	    4358	    229949 ns/op	  121021 B/op	    4812 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    9403	    123104 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    8716	    123421 ns/op	  102228 B/op	    2421 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_100-2   	    8349	    122577 ns/op	  102227 B/op	    2421 allocs/op
